355,191,18,9,0.884579,0,0,-90450,-90400
352,178,16,3,0.717239,0,50,-90150,-90100
392,171,5,8,0.701731,0,100,-91750,-91700
391,170,7,9,0.858042,0,150,-91900,-91850
392,207,18,47,0.949778,0,200,-92850,-92800
642,224,9,9,0.863357,0,250,-106600,-106550
642,224,9,9,0.826128,0,300,-104850,250
698,222,7,7,0.796167,0,350,-110500,-110450
820,222,9,8,0.805988,0,400,-75300,-75250
702,236,32,18,0.697302,0,450,-136500,-136450
759,206,13,15,0.72416,0,500,-84500,-84450
722,197,10,9,0.881145,0,550,-110100,-110050
722,197,10,9,0.883392,0,600,-110000,550
739,192,9,8,0.714355,0,650,-84000,-83950
739,192,9,8,0.671768,0,700,-83900,650
677,194,38,26,0.655544,0,750,-105900,-105850
704,180,10,3,0.845888,0,800,-135250,-135200
848,192,28,17,0.861235,0,850,-76650,-75500
883,194,8,7,0.901129,0,900,-75100,-75050
883,194,8,7,0.856595,0,950,-75000,900
900,204,5,8,0.599407,0,1000,-65400,-65350
743,216,13,38,0.595248,0,1050,-83650,-83600
7,150,11,15,0.815384,0,1100,-43400,-43350
911,255,4,7,0.853628,0,1150,-53200,-53150
916,279,8,19,0.79616,0,1200,-52850,-52800
867,293,14,3,0.700259,0,1250,-86150,-86100
873,300,11,8,0.81837,0,1300,-13800,-13750
1055,273,10,10,0.840498,0,1350,-62450,-62400
757,288,8,9,0.842628,0,1400,-83150,-83100
692,318,6,6,0.735712,0,1450,-111100,-111050
756,276,10,22,0.825497,0,1500,-84250,-84200
786,277,11,9,0.837017,0,1550,-85100,-85050
659,335,6,6,0.812248,0,1600,-111300,-111250
653,338,5,5,0.860906,0,1650,-111350,-111150
595,337,9,9,0.808189,0,1700,-108850,-108800
595,337,9,9,0.795844,0,1750,-108750,1700
595,336,9,10,0.863037,0,1800,-108950,-108900
1070,322,8,9,0.830103,0,1850,-59200,-59150
1021,344,8,7,0.868119,0,1900,-32250,-32100
1018,355,14,7,0.861313,0,1950,-60350,-60300
1040,362,10,8,0.755858,0,2000,-32000,-31650
932,350,6,15,0.771582,0,2050,-72900,-72850
962,372,14,5,0.857279,0,2100,-4650,-4600
904,387,19,6,0.74793,0,2150,-86550,-86500
867,392,24,3,0.838581,0,2200,-87700,-87650
778,404,7,9,0.838425,0,2250,-81350,-81300
778,404,7,9,0.810167,0,2300,-81250,2250
1057,410,9,8,0.695961,0,2350,-54300,-54250
1055,409,12,10,0.745917,0,2400,-54450,-54400
1053,409,17,10,0.743215,0,2450,-54600,-54550
1017,420,7,6,0.791759,0,2500,-65150,-54100
1096,405,8,9,0.892622,0,2550,-74550,-65550
1096,405,8,9,0.876398,0,2600,-65500,2550
1078,440,13,9,0.873224,0,2650,-55400,-55350
1072,442,5,13,0.890644,0,2700,-54800,-54750
1087,457,12,13,0.89712,0,2750,-55750,-55700
1120,464,11,6,0.771729,0,2800,-57250,-57200
